city,state,country,first_name,last_name,agent,publication_date
Logan County,Ohio,USA,Sen K,Artis Jr,local,02-21-1844
Lower Sandusky,Ohio,USA,A,Winfield,local,02-14-1844
Madison,Iowa,USA,A,Duncan,local,02-14-1844
Madison County,Ohio,USA,C,Lewis,local,07-10-1844
Massillon,Ohio,USA,J,Thompson,local,02-14-1844
Massillon,Ohio,USA,Rev J,Thomas,traveling,02-14-1844
Mercer County,Ohio,USA,Rev S,Jones,local,07-03-1844
Miami County,Ohio,USA,T,Anderson,local,03-27-1844
Miami County,Ohio,USA,R,Smith,local,03-27-1844
Morgan county,Ohio,USA,Lloyd E,Guy,local,02-14-1844
Mt. Pleasant,Ohio,USA,Elijah,Sawyer,local,02-14-1844
Mt. Pleasant,Ohio,USA,Rev W M,Newmon,traveling,02-14-1844
Mt. Vernon,Ohio,USA,O,Martin,local,02-14-1844
New Albany,Indiana,USA,G W,Carter,local,06-12-1844
New York City,New York,USA,Chris B,Ray,local,02-14-1844
New York City,New York,USA,T S,Wright,local,02-14-1844
Newark,Ohio,USA,G W,Roots,local,05-22-1844
Newark,Ohio,USA,W,Jenkins,local,02-14-1844
Newark,Ohio,USA,H,Robinson,local,02-14-1844
Oberlin,Ohio,USA,J M,Brown,local,09-11-1844
Oberlin,Ohio,USA,T,Fisher,local,06-26-1844
Oberlin,Ohio,USA,A,Jones,local,02-14-1844
Oberlin,Ohio,USA,W P,Newman,local,02-14-1844
Piketon,Ohio,USA,W,Evans,local,02-21-1844
Pittsburgh,Pennsylvania,USA,J B,Vashon,local,02-14-1844
Putnam,Ohio,USA,J,Thomas,local,02-14-1844
Richmond,Ohio,USA,C,Oston,local,02-28-1844
Rochester,New York,USA,J,Sharp,local,02-28-1844
Sardinia,Ohio,USA,Rev E,Cumberland,traveling,02-14-1844
Sardinia,Ohio,USA,Rev,Fox,traveling,02-14-1844
Sharonville,Ohio,USA,D,Lucus,local,02-28-1844
Sharonville,Ohio,USA,C,Smith,local,02-28-1844
Sharonville,Ohio,USA,W,Polson,local,02-28-1844
Shelby County,Ohio,USA,H,Galloway,local,05-22-1844
Shelby County,Ohio,USA,A N,Redmon,local,05-22-1844
Shelby County,Ohio,USA,J,Robertson,local,03-27-1844
Springfield,Ohio,USA,W,Piles,local,02-14-1844
Springfield,Ohio,USA,Rev T,Roberts,traveling,02-14-1844
Springfield,Ohio,USA,R,Piles,local,02-14-1844
Steubenville,Ohio,USA,Wm,Ferris,local,02-14-1844
Summerton,Ohio,USA,A,Harper,local,02-14-1844
Terre Haute,Indiana,USA,E,Roy,local,03-27-1844
Trenton,Ohio,USA,Jas,Simpson,local,02-14-1844
Troy,New York,USA,H H,Garnett,local,02-14-1844
U Moody,Ohio,USA,C H,Langston,local,02-21-1844
U Moody,Ohio,USA,J,Burnett,local,02-21-1844
Urbana,Ohio,USA,L,Adams,local,02-14-1844
Urbana,Ohio,USA,A,Kane,local,02-14-1844
Utica,New York,USA,T,Woodson,local,02-14-1844
Utica,New York,USA,James,Fontain,local,02-14-1844
Van Wert,Ohio,USA,H,Taylor,local,03-27-1844
Warren,Ohio,USA,A,Moore,local,02-14-1844
Warren,Ohio,USA,A,Day,local,05-08-1844
Wilmington,Ohio,USA,S,Depp,traveling,NA
Xenia,Ohio,USA,W,Roberts,local,02-14-1844
Xenia,Ohio,USA,Rev D,Winslow,traveling,02-14-1844
Zanesville,Ohio,USA,Rev Geo,Coleman,traveling,02-14-1844
Zanesville,Ohio,USA,B,Messer,local,02-21-1844
Zanesville,Ohio,USA,H,Nusum,local,02-21-1844
Zanesville,Ohio,USA,W,Gasaway,local,02-21-1844
Zanesville,Ohio,USA,I,Martin,local,06-12-1844
Batavia,New York,USA,W,Johnson,local,02-21-1844
Boston,Massachusetts,USA,J T,Hilton,local,02-21-1844
Brockport,New York,USA,A,Peck,local,02-21-1844
